env,phenotype,seed,memory_tau,response_gain,ticks,n_org,hi_q_frac,drift_x,drift_y,net_disp_mean,path_len_mean,straightness,dq_pos,dq_neg,dq_zero,q_mean,dq_mean,dq_abs_mean,dq_light_mean,dq_chem_mean,turn_factor_mean,sigma_eff_mean,r_light_mean,r_chem_mean,turn_factor_pos_minus_neg
K0_uniform,lightspec,4,3.0,16.0,2000,100,1.0,-0.17934579290239355,-0.36688968120419746,6.40305209169981,88.97217808965004,0.0719669027912071,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,5,3.0,16.0,2000,100,1.0,0.2138980719424905,-1.1212153690748137,6.281132186512495,89.08572559450633,0.07050660635692049,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,6,3.0,16.0,2000,100,1.0,0.0927915241334922,0.3315784324196702,6.179140938989838,89.01101208633935,0.06941996045383872,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,7,3.0,16.0,2000,100,1.0,-0.4340910987364853,-0.93695677526051,6.2644752322448864,89.09802592654484,0.0703099217642545,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,8,3.0,16.0,2000,100,1.0,0.1302311252577117,0.006800575995629096,6.3776769057732015,89.1673264453622,0.07152481923612636,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,9,3.0,16.0,2000,100,1.0,0.30715479762224845,-0.3699082083658075,6.81495999460882,89.36904982387412,0.07625637743759771,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,10,3.0,16.0,2000,100,1.0,0.5267146817550435,0.6664510057228114,6.508749312448373,89.1403000506768,0.0730169105191267,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,11,3.0,16.0,2000,100,1.0,-0.4101880372468202,0.6565169647440724,6.54228022940643,89.09669137892499,0.07342899189805321,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,12,3.0,16.0,2000,100,1.0,-0.46905562141151547,0.7867769052015335,6.212314609821475,88.58350694504021,0.07012947244994236,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,13,3.0,16.0,2000,100,1.0,-0.5484091658852549,1.1369393790030213,6.1460560996654205,89.10475941643499,0.06897562083010132,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,14,3.0,16.0,2000,100,1.0,-0.07850585248831513,0.046619689971005476,6.038382085359029,89.04953713611954,0.06780924729714052,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,15,3.0,16.0,2000,100,1.0,-0.04397405373922858,-0.3222687009965789,6.978261469363078,89.1443385624057,0.07828047840052041,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,16,3.0,16.0,2000,100,1.0,0.3201863588126451,-0.585809686318725,7.076320436915381,88.75518014397703,0.07972853444087774,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,17,3.0,16.0,2000,100,1.0,-0.13505638674662898,0.3260293580992221,6.99153997921497,89.18287626027576,0.07839554264666808,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,18,3.0,16.0,2000,100,1.0,-0.07093897386251732,-0.025087721303050897,7.24657079769532,89.02138708637622,0.08140258240038512,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,19,3.0,16.0,2000,100,1.0,0.1724061384828875,0.4496702695872458,6.344409138891503,89.03491402651942,0.07125754214803638,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,20,3.0,16.0,2000,100,1.0,-0.16597216114086066,1.2110037657656303,6.825072373978363,89.00813119733124,0.07667920090184976,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,1,3.0,64.0,2000,100,1.0,-0.19841473047100414,-0.0372672940066731,6.212277668364697,89.00284750838175,0.06979863950734455,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,2,3.0,64.0,2000,100,1.0,0.3607701340923408,-0.13469236556713196,6.49428141950189,88.75644651413364,0.07316968709949125,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,3,3.0,64.0,2000,100,1.0,0.6945464776702027,-0.24295777357711357,6.729357565476105,89.43477028664486,0.07524319170170651,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,4,3.0,64.0,2000,100,1.0,-0.17934579290239355,-0.36688968120419746,6.40305209169981,88.97217808965004,0.0719669027912071,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,5,3.0,64.0,2000,100,1.0,0.2138980719424905,-1.1212153690748137,6.281132186512495,89.08572559450633,0.07050660635692049,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,6,3.0,64.0,2000,100,1.0,0.0927915241334922,0.3315784324196702,6.179140938989838,89.01101208633935,0.06941996045383872,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,7,3.0,64.0,2000,100,1.0,-0.4340910987364853,-0.93695677526051,6.2644752322448864,89.09802592654484,0.0703099217642545,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,8,3.0,64.0,2000,100,1.0,0.1302311252577117,0.006800575995629096,6.3776769057732015,89.1673264453622,0.07152481923612636,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,9,3.0,64.0,2000,100,1.0,0.30715479762224845,-0.3699082083658075,6.81495999460882,89.36904982387412,0.07625637743759771,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,10,3.0,64.0,2000,100,1.0,0.5267146817550435,0.6664510057228114,6.508749312448373,89.1403000506768,0.0730169105191267,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,11,3.0,64.0,2000,100,1.0,-0.4101880372468202,0.6565169647440724,6.54228022940643,89.09669137892499,0.07342899189805321,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,12,3.0,64.0,2000,100,1.0,-0.46905562141151547,0.7867769052015335,6.212314609821475,88.58350694504021,0.07012947244994236,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,13,3.0,64.0,2000,100,1.0,-0.5484091658852549,1.1369393790030213,6.1460560996654205,89.10475941643499,0.06897562083010132,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,14,3.0,64.0,2000,100,1.0,-0.07850585248831513,0.046619689971005476,6.038382085359029,89.04953713611954,0.06780924729714052,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,15,3.0,64.0,2000,100,1.0,-0.04397405373922858,-0.3222687009965789,6.978261469363078,89.1443385624057,0.07828047840052041,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,16,3.0,64.0,2000,100,1.0,0.3201863588126451,-0.585809686318725,7.076320436915381,88.75518014397703,0.07972853444087774,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,17,3.0,64.0,2000,100,1.0,-0.13505638674662898,0.3260293580992221,6.99153997921497,89.18287626027576,0.07839554264666808,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,18,3.0,64.0,2000,100,1.0,-0.07093897386251732,-0.025087721303050897,7.24657079769532,89.02138708637622,0.08140258240038512,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,19,3.0,64.0,2000,100,1.0,0.1724061384828875,0.4496702695872458,6.344409138891503,89.03491402651942,0.07125754214803638,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,20,3.0,64.0,2000,100,1.0,-0.16597216114086066,1.2110037657656303,6.825072373978363,89.00813119733124,0.07667920090184976,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,1,3.0,256.0,2000,100,1.0,-0.19841473047100414,-0.0372672940066731,6.212277668364697,89.00284750838175,0.06979863950734455,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,2,3.0,256.0,2000,100,1.0,0.3607701340923408,-0.13469236556713196,6.49428141950189,88.75644651413364,0.07316968709949125,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,3,3.0,256.0,2000,100,1.0,0.6945464776702027,-0.24295777357711357,6.729357565476105,89.43477028664486,0.07524319170170651,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,4,3.0,256.0,2000,100,1.0,-0.17934579290239355,-0.36688968120419746,6.40305209169981,88.97217808965004,0.0719669027912071,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,5,3.0,256.0,2000,100,1.0,0.2138980719424905,-1.1212153690748137,6.281132186512495,89.08572559450633,0.07050660635692049,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,6,3.0,256.0,2000,100,1.0,0.0927915241334922,0.3315784324196702,6.179140938989838,89.01101208633935,0.06941996045383872,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,7,3.0,256.0,2000,100,1.0,-0.4340910987364853,-0.93695677526051,6.2644752322448864,89.09802592654484,0.0703099217642545,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,8,3.0,256.0,2000,100,1.0,0.1302311252577117,0.006800575995629096,6.3776769057732015,89.1673264453622,0.07152481923612636,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,9,3.0,256.0,2000,100,1.0,0.30715479762224845,-0.3699082083658075,6.81495999460882,89.36904982387412,0.07625637743759771,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,10,3.0,256.0,2000,100,1.0,0.5267146817550435,0.6664510057228114,6.508749312448373,89.1403000506768,0.0730169105191267,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,11,3.0,256.0,2000,100,1.0,-0.4101880372468202,0.6565169647440724,6.54228022940643,89.09669137892499,0.07342899189805321,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,12,3.0,256.0,2000,100,1.0,-0.46905562141151547,0.7867769052015335,6.212314609821475,88.58350694504021,0.07012947244994236,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,13,3.0,256.0,2000,100,1.0,-0.5484091658852549,1.1369393790030213,6.1460560996654205,89.10475941643499,0.06897562083010132,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,14,3.0,256.0,2000,100,1.0,-0.07850585248831513,0.046619689971005476,6.038382085359029,89.04953713611954,0.06780924729714052,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,15,3.0,256.0,2000,100,1.0,-0.04397405373922858,-0.3222687009965789,6.978261469363078,89.1443385624057,0.07828047840052041,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,16,3.0,256.0,2000,100,1.0,0.3201863588126451,-0.585809686318725,7.076320436915381,88.75518014397703,0.07972853444087774,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,17,3.0,256.0,2000,100,1.0,-0.13505638674662898,0.3260293580992221,6.99153997921497,89.18287626027576,0.07839554264666808,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,18,3.0,256.0,2000,100,1.0,-0.07093897386251732,-0.025087721303050897,7.24657079769532,89.02138708637622,0.08140258240038512,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,19,3.0,256.0,2000,100,1.0,0.1724061384828875,0.4496702695872458,6.344409138891503,89.03491402651942,0.07125754214803638,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,20,3.0,256.0,2000,100,1.0,-0.16597216114086066,1.2110037657656303,6.825072373978363,89.00813119733124,0.07667920090184976,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,1,10.0,4.0,2000,100,1.0,-0.19841473047100414,-0.0372672940066731,6.212277668364697,89.00284750838175,0.06979863950734455,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,2,10.0,4.0,2000,100,1.0,0.3607701340923408,-0.13469236556713196,6.49428141950189,88.75644651413364,0.07316968709949125,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,3,10.0,4.0,2000,100,1.0,0.6945464776702027,-0.24295777357711357,6.729357565476105,89.43477028664486,0.07524319170170651,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,4,10.0,4.0,2000,100,1.0,-0.17934579290239355,-0.36688968120419746,6.40305209169981,88.97217808965004,0.0719669027912071,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,5,10.0,4.0,2000,100,1.0,0.2138980719424905,-1.1212153690748137,6.281132186512495,89.08572559450633,0.07050660635692049,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,6,10.0,4.0,2000,100,1.0,0.0927915241334922,0.3315784324196702,6.179140938989838,89.01101208633935,0.06941996045383872,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,7,10.0,4.0,2000,100,1.0,-0.4340910987364853,-0.93695677526051,6.2644752322448864,89.09802592654484,0.0703099217642545,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,8,10.0,4.0,2000,100,1.0,0.1302311252577117,0.006800575995629096,6.3776769057732015,89.1673264453622,0.07152481923612636,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,9,10.0,4.0,2000,100,1.0,0.30715479762224845,-0.3699082083658075,6.81495999460882,89.36904982387412,0.07625637743759771,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,10,10.0,4.0,2000,100,1.0,0.5267146817550435,0.6664510057228114,6.508749312448373,89.1403000506768,0.0730169105191267,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,11,10.0,4.0,2000,100,1.0,-0.4101880372468202,0.6565169647440724,6.54228022940643,89.09669137892499,0.07342899189805321,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,12,10.0,4.0,2000,100,1.0,-0.46905562141151547,0.7867769052015335,6.212314609821475,88.58350694504021,0.07012947244994236,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,13,10.0,4.0,2000,100,1.0,-0.5484091658852549,1.1369393790030213,6.1460560996654205,89.10475941643499,0.06897562083010132,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,14,10.0,4.0,2000,100,1.0,-0.07850585248831513,0.046619689971005476,6.038382085359029,89.04953713611954,0.06780924729714052,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,15,10.0,4.0,2000,100,1.0,-0.04397405373922858,-0.3222687009965789,6.978261469363078,89.1443385624057,0.07828047840052041,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,16,10.0,4.0,2000,100,1.0,0.3201863588126451,-0.585809686318725,7.076320436915381,88.75518014397703,0.07972853444087774,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,17,10.0,4.0,2000,100,1.0,-0.13505638674662898,0.3260293580992221,6.99153997921497,89.18287626027576,0.07839554264666808,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,18,10.0,4.0,2000,100,1.0,-0.07093897386251732,-0.025087721303050897,7.24657079769532,89.02138708637622,0.08140258240038512,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,19,10.0,4.0,2000,100,1.0,0.1724061384828875,0.4496702695872458,6.344409138891503,89.03491402651942,0.07125754214803638,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,20,10.0,4.0,2000,100,1.0,-0.16597216114086066,1.2110037657656303,6.825072373978363,89.00813119733124,0.07667920090184976,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,1,10.0,16.0,2000,100,1.0,-0.19841473047100414,-0.0372672940066731,6.212277668364697,89.00284750838175,0.06979863950734455,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,2,10.0,16.0,2000,100,1.0,0.3607701340923408,-0.13469236556713196,6.49428141950189,88.75644651413364,0.07316968709949125,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,3,10.0,16.0,2000,100,1.0,0.6945464776702027,-0.24295777357711357,6.729357565476105,89.43477028664486,0.07524319170170651,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
K0_uniform,lightspec,4,10.0,16.0,2000,100,1.0,-0.17934579290239355,-0.36688968120419746,6.40305209169981,88.97217808965004,0.0719669027912071,0,0,200000,0.3550724637681054,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333334203,0.5,nan
